snapshot_name,snapshot_title,snapshot_date,figure_file_name,figure_path
t0,冲击前基线网络快照,2025-06-14,t0_network.png,C:\Users\yanluyao\Desktop\XD_interrupt_simulation\study_04_response_recovery_----\output\study04_dynamic_frontend\generated\20260424_190544_keynode_supplier_SID0020\run\network_snapshots\t0_network.png
t_start,首次可见冲击网络快照,2025-06-15,t_start_network.png,C:\Users\yanluyao\Desktop\XD_interrupt_simulation\study_04_response_recovery_----\output\study04_dynamic_frontend\generated\20260424_190544_keynode_supplier_SID0020\run\network_snapshots\t_start_network.png
t_supply_peak,原始供应冲击峰值网络快照,2025-06-18,t_supply_peak_network.png,C:\Users\yanluyao\Desktop\XD_interrupt_simulation\study_04_response_recovery_----\output\study04_dynamic_frontend\generated\20260424_190544_keynode_supplier_SID0020\run\network_snapshots\t_supply_peak_network.png
t_policy_start,恢复动作启动网络快照,2025-06-20,t_policy_start_network.png,C:\Users\yanluyao\Desktop\XD_interrupt_simulation\study_04_response_recovery_----\output\study04_dynamic_frontend\generated\20260424_190544_keynode_supplier_SID0020\run\network_snapshots\t_policy_start_network.png
t_recovery,业务恢复网络快照,2025-06-24,t_recovery_network.png,C:\Users\yanluyao\Desktop\XD_interrupt_simulation\study_04_response_recovery_----\output\study04_dynamic_frontend\generated\20260424_190544_keynode_supplier_SID0020\run\network_snapshots\t_recovery_network.png
