scenario_id,policy_profile,policy_label,target_id,final_product_id,ttr_days,failed_days,affected_days,average_service_level,max_affected_items,max_failed_items,max_blocked_assemblies,max_affected_key_items,max_failed_key_items,max_disrupted_key_suppliers,max_degraded_key_suppliers,max_affected_non_key_items,max_failed_non_key_items,max_disrupted_non_key_suppliers,max_degraded_non_key_suppliers,first_failure_date,max_supply_degraded_items,max_supply_unavailable_items,max_supply_effective_degraded_items,max_supply_effective_unavailable_items,max_supply_effective_affected_items,max_supply_blocked_assemblies,max_supply_affected_products,max_total_backlog_demand,max_total_lost_demand,min_demand_fulfillment_rate,avg_demand_fulfillment_rate,max_fused_affected_items,max_fused_failed_items,avg_system_service_level,min_system_service_level,dominant_root_cause_at_max_business_impact,policy_event_count,policy_total_cost,backup_supplier_switch_total_cost,backup_supplier_switch_scheduled_count,backup_supplier_switch_activated_count,equivalent_material_substitution_total_cost,equivalent_material_substitution_scheduled_count,equivalent_material_substitution_activated_count,priority_repair_total_cost,priority_repair_scheduled_count,priority_repair_activated_count,economic_unit_value,estimated_fulfilled_value,estimated_lost_value,estimated_backlog_penalty,estimated_disruption_loss,estimated_policy_benefit,policy_cost_benefit_ratio,reference_policy_profile,reference_policy_total_cost,reference_estimated_disruption_loss,incremental_cost_vs_reference,benefit_vs_reference,net_benefit_vs_reference,policy_cost_benefit_ratio_vs_reference,average_service_level_gain_vs_reference,ttr_improvement_days_vs_reference
interactive_keynode_1nodes_sid0011,time_priority_interrupt,当前恢复策略,SID0011,MID0006,7.0,0,7,0.9417,7,2,0,1,0,9,0,6,2,3,0,,3,2,7,2,7,0,1,3.717,0.9293,0.75,0.9708,25,2,0.9417,0.5,stable,48,59438.3375,26650.418,13,9,0.0,0,0,32787.9195,13,13,148.4092,137322.5233,939.0989,1314.7385,2253.8375,135068.6858,2.2724,no_policy,0.0,136252.9577,59438.3375,133999.1202,74560.7827,2.2544,0.8084,
interactive_keynode_1nodes_sid0011,all_policies,全策略显示联动,SID0011,MID0006,7.0,0,7,0.9417,7,2,0,1,0,9,0,6,2,3,0,,3,2,7,2,7,0,1,3.717,0.9293,0.75,0.9708,25,2,0.9417,0.5,stable,44,56475.418,26650.418,13,9,0.0,0,0,29825.0,11,11,148.4092,137322.5233,939.0989,1314.7385,2253.8375,135068.6858,2.3916,no_policy,0.0,136252.9577,56475.418,133999.1202,77523.7022,2.3727,0.8084,
interactive_keynode_1nodes_sid0011,no_policy,无恢复策略,SID0011,MID0006,,44,16,0.1333,7,7,4,1,1,9,0,6,6,3,0,2025-07-01,3,3,7,7,7,4,1,34.6921,8.673,0.0,0.2,25,7,0.1333,0.0,supply_constraint,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,148.4092,32704.2823,56772.0657,79480.892,136252.9577,0.0,,no_policy,0.0,136252.9577,0.0,0.0,0.0,,0.0,
interactive_keynode_1nodes_sid0011,only_backup_switch,仅备供切换,SID0011,MID0006,7.0,0,7,0.9417,7,2,0,1,0,9,0,6,2,3,0,,3,2,7,2,7,0,1,3.717,0.9293,0.75,0.9708,25,2,0.9417,0.5,stable,26,29050.418,29050.418,13,13,0.0,0,0,0.0,0,0,148.4092,137322.5233,939.0989,1314.7385,2253.8375,135068.6858,4.6495,no_policy,0.0,136252.9577,29050.418,133999.1202,104948.7022,4.6126,0.8084,
interactive_keynode_1nodes_sid0011,only_substitution,仅等效替代,SID0011,MID0006,,44,16,0.1333,7,7,4,1,1,9,0,6,6,3,0,2025-07-01,3,3,7,7,7,4,1,34.6921,8.673,0.0,0.2,25,7,0.1333,0.0,supply_constraint,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,148.4092,32704.2823,56772.0657,79480.892,136252.9577,0.0,,no_policy,0.0,136252.9577,0.0,0.0,0.0,,0.0,
interactive_keynode_1nodes_sid0011,only_priority_repair,仅优先抢修,SID0011,MID0006,50.0,34,16,0.3,7,7,4,1,1,9,0,6,6,3,0,2025-07-01,3,3,7,7,7,4,1,34.6921,8.673,0.0,0.3667,25,7,0.3,0.0,supply_constraint,22,29825.0,0.0,0,0,0.0,0,0,29825.0,11,11,148.4092,59991.9991,43900.5013,61460.7018,105361.203,0.0,0.0,no_policy,0.0,136252.9577,29825.0,30891.7547,1066.7547,1.0358,0.1667,
