scenario_id,policy_profile,policy_label,target_id,final_product_id,ttr_days,failed_days,affected_days,average_service_level,max_affected_items,max_failed_items,max_blocked_assemblies,max_affected_key_items,max_failed_key_items,max_disrupted_key_suppliers,max_degraded_key_suppliers,max_affected_non_key_items,max_failed_non_key_items,max_disrupted_non_key_suppliers,max_degraded_non_key_suppliers,first_failure_date,max_supply_degraded_items,max_supply_unavailable_items,max_supply_effective_degraded_items,max_supply_effective_unavailable_items,max_supply_effective_affected_items,max_supply_blocked_assemblies,max_supply_affected_products,max_total_backlog_demand,max_total_lost_demand,min_demand_fulfillment_rate,avg_demand_fulfillment_rate,max_fused_affected_items,max_fused_failed_items,avg_system_service_level,min_system_service_level,dominant_root_cause_at_max_business_impact,policy_event_count,policy_total_cost,backup_supplier_switch_total_cost,backup_supplier_switch_scheduled_count,backup_supplier_switch_activated_count,equivalent_material_substitution_total_cost,equivalent_material_substitution_scheduled_count,equivalent_material_substitution_activated_count,priority_repair_total_cost,priority_repair_scheduled_count,priority_repair_activated_count,economic_unit_value,estimated_fulfilled_value,estimated_lost_value,estimated_backlog_penalty,estimated_disruption_loss,estimated_policy_benefit,policy_cost_benefit_ratio,reference_policy_profile,reference_policy_total_cost,reference_estimated_disruption_loss,incremental_cost_vs_reference,benefit_vs_reference,net_benefit_vs_reference,policy_cost_benefit_ratio_vs_reference,average_service_level_gain_vs_reference,ttr_improvement_days_vs_reference
interactive_keynode_2nodes_mid0014,time_priority_interrupt,当前恢复策略,"MID0014,SID0020",MID0006,9.0,5,4,0.8833,9,3,3,2,2,9,0,7,2,3,0,2025-06-15,3,2,7,3,9,3,1,30.9671,7.7418,0.0,0.9,25,3,0.8833,0.0,supply_constraint,50,60845.1406,26650.418,13,9,0.0,0,0,34194.7226,14,14,148.4092,129765.7659,5137.2975,7192.2165,12329.514,117436.2519,1.9301,no_policy,0.0,179858.6674,60845.1406,167529.1534,106684.0128,2.7534,0.8833,
interactive_keynode_2nodes_mid0014,all_policies,全策略显示联动,"MID0014,SID0020",MID0006,9.0,5,4,0.8833,9,3,3,2,2,9,0,7,2,3,0,2025-06-15,3,2,7,3,9,3,1,30.9671,7.7418,0.0,0.9,25,3,0.8833,0.0,supply_constraint,46,57882.2211,26650.418,13,9,0.0,0,0,31231.8031,12,12,148.4092,129765.7659,5137.2975,7192.2165,12329.514,117436.2519,2.0289,no_policy,0.0,179858.6674,57882.2211,167529.1534,109646.9323,2.8943,0.8833,
interactive_keynode_2nodes_mid0014,no_policy,无恢复策略,"MID0014,SID0020",MID0006,,60,0,0.0,9,7,4,2,2,9,0,7,6,3,0,2025-06-15,3,3,6,7,9,4,1,34.6921,8.673,0.0,0.0,22,7,0.0,0.0,supply_constraint,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,148.4092,0.0,74941.1114,104917.556,179858.6674,0.0,,no_policy,0.0,179858.6674,0.0,0.0,0.0,,0.0,
interactive_keynode_2nodes_mid0014,only_backup_switch,仅备供切换,"MID0014,SID0020",MID0006,18.0,18,0,0.7,9,5,3,2,2,9,0,7,3,3,0,2025-06-15,3,3,6,5,9,3,1,34.6808,8.6702,0.0,0.7,22,5,0.7,0.0,supply_constraint,26,29050.418,29050.418,13,13,0.0,0,0,0.0,0,0,148.4092,101426.5951,20881.2813,29233.7938,50115.075,51311.52,1.7663,no_policy,0.0,179858.6674,29050.418,129743.5924,100693.1744,4.4662,0.7,
interactive_keynode_2nodes_mid0014,only_substitution,仅等效替代,"MID0014,SID0020",MID0006,,60,0,0.0,9,7,4,2,2,9,0,7,6,3,0,2025-06-15,3,3,6,7,9,4,1,34.6921,8.673,0.0,0.0,22,7,0.0,0.0,supply_constraint,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,148.4092,0.0,74941.1114,104917.556,179858.6674,0.0,,no_policy,0.0,179858.6674,0.0,0.0,0.0,,0.0,
interactive_keynode_2nodes_mid0014,only_priority_repair,仅优先抢修,"MID0014,SID0020",MID0006,50.0,37,13,0.275,9,7,4,2,2,9,0,7,6,3,0,2025-06-15,3,3,7,7,9,4,1,34.6921,8.673,0.0,0.3292,25,7,0.275,0.0,supply_constraint,24,31231.8031,0.0,0,0,0.0,0,0,31231.8031,12,12,148.4092,57068.7764,45524.5139,63734.3194,109258.8333,0.0,0.0,no_policy,0.0,179858.6674,31231.8031,70599.8341,39368.031,2.2605,0.275,
