scenario_id,policy_profile,policy_label,target_id,final_product_id,ttr_days,failed_days,affected_days,average_service_level,max_affected_items,max_failed_items,max_blocked_assemblies,max_affected_key_items,max_failed_key_items,max_disrupted_key_suppliers,max_degraded_key_suppliers,max_affected_non_key_items,max_failed_non_key_items,max_disrupted_non_key_suppliers,max_degraded_non_key_suppliers,first_failure_date,max_supply_degraded_items,max_supply_unavailable_items,max_supply_effective_degraded_items,max_supply_effective_unavailable_items,max_supply_effective_affected_items,max_supply_blocked_assemblies,max_supply_affected_products,max_total_backlog_demand,max_total_lost_demand,min_demand_fulfillment_rate,avg_demand_fulfillment_rate,max_fused_affected_items,max_fused_failed_items,avg_system_service_level,min_system_service_level,dominant_root_cause_at_max_business_impact,policy_event_count,policy_total_cost,backup_supplier_switch_total_cost,backup_supplier_switch_scheduled_count,backup_supplier_switch_activated_count,equivalent_material_substitution_total_cost,equivalent_material_substitution_scheduled_count,equivalent_material_substitution_activated_count,priority_repair_total_cost,priority_repair_scheduled_count,priority_repair_activated_count,economic_unit_value,estimated_fulfilled_value,estimated_lost_value,estimated_backlog_penalty,estimated_disruption_loss,estimated_policy_benefit,policy_cost_benefit_ratio,reference_policy_profile,reference_policy_total_cost,reference_estimated_disruption_loss,incremental_cost_vs_reference,benefit_vs_reference,net_benefit_vs_reference,policy_cost_benefit_ratio_vs_reference,average_service_level_gain_vs_reference,ttr_improvement_days_vs_reference
interactive_keynode_2nodes_sid0010,time_priority_interrupt,当前恢复策略,"SID0010,SID0013",MID0006,7.0,0,7,0.9417,12,2,0,1,0,11,0,11,2,4,0,,4,2,12,2,12,0,1,3.717,0.9293,0.75,0.9708,25,2,0.9417,0.5,stable,52,66761.1985,31473.279,15,10,0.0,0,0,35287.9195,14,13,148.4092,137322.5233,939.0989,1314.7385,2253.8375,135068.6858,2.0232,no_policy,0.0,150043.9201,66761.1985,147790.0826,81028.8841,2.2137,0.85,
interactive_keynode_2nodes_sid0010,all_policies,全策略显示联动,"SID0010,SID0013",MID0006,7.0,0,7,0.9417,12,2,0,1,0,11,0,11,2,4,0,,4,2,12,2,12,0,1,3.717,0.9293,0.75,0.9708,25,2,0.9417,0.5,stable,48,63798.279,31473.279,15,10,0.0,0,0,32325.0,12,11,148.4092,137322.5233,939.0989,1314.7385,2253.8375,135068.6858,2.1171,no_policy,0.0,150043.9201,63798.279,147790.0826,83991.8036,2.3165,0.85,
interactive_keynode_2nodes_sid0010,no_policy,无恢复策略,"SID0010,SID0013",MID0006,,49,11,0.0917,12,12,8,1,1,11,0,11,11,4,0,2025-06-26,4,4,12,12,12,8,1,34.6921,8.673,0.0,0.1375,25,12,0.0917,0.0,supply_constraint,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,148.4092,22361.0605,62518.3,87525.62,150043.9201,0.0,,no_policy,0.0,150043.9201,0.0,0.0,0.0,,0.0,
interactive_keynode_2nodes_sid0010,only_backup_switch,仅备供切换,"SID0010,SID0013",MID0006,18.0,7,11,0.7917,12,8,5,1,1,11,0,11,7,4,0,2025-06-26,4,3,12,8,12,5,1,33.3298,8.3324,0.0,0.8375,25,8,0.7917,0.0,supply_constraint,29,33873.279,33873.279,15,14,0.0,0,0,0.0,0,0,148.4092,123627.2501,8547.584,11966.6176,20514.2016,103113.0485,3.0441,no_policy,0.0,150043.9201,33873.279,129529.7185,95656.4395,3.8239,0.7,
interactive_keynode_2nodes_sid0010,only_substitution,仅等效替代,"SID0010,SID0013",MID0006,,49,11,0.0917,12,12,8,1,1,11,0,11,11,4,0,2025-06-26,4,4,12,12,12,8,1,34.6921,8.673,0.0,0.1375,25,12,0.0917,0.0,supply_constraint,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,148.4092,22361.0605,62518.3,87525.62,150043.9201,0.0,,no_policy,0.0,150043.9201,0.0,0.0,0.0,,0.0,
interactive_keynode_2nodes_sid0010,only_priority_repair,仅优先抢修,"SID0010,SID0013",MID0006,55.0,39,16,0.2167,12,7,4,1,1,11,0,11,6,4,0,2025-07-01,4,3,12,7,12,4,1,34.6921,8.673,0.0,0.2833,25,7,0.2167,0.0,supply_constraint,23,32325.0,0.0,0,0,0.0,0,0,32325.0,12,11,148.4092,48407.5915,50336.2833,70470.7966,120807.0798,0.0,0.0,no_policy,0.0,150043.9201,32325.0,29236.8403,-3088.1597,0.9045,0.125,
