scenario_id,policy_profile,policy_label,target_id,final_product_id,ttr_days,failed_days,affected_days,average_service_level,max_affected_items,max_failed_items,max_blocked_assemblies,max_affected_key_items,max_failed_key_items,max_disrupted_key_suppliers,max_degraded_key_suppliers,max_affected_non_key_items,max_failed_non_key_items,max_disrupted_non_key_suppliers,max_degraded_non_key_suppliers,first_failure_date,max_supply_degraded_items,max_supply_unavailable_items,max_supply_effective_degraded_items,max_supply_effective_unavailable_items,max_supply_effective_affected_items,max_supply_blocked_assemblies,max_supply_affected_products,max_total_backlog_demand,max_total_lost_demand,min_demand_fulfillment_rate,avg_demand_fulfillment_rate,max_fused_affected_items,max_fused_failed_items,avg_system_service_level,min_system_service_level,dominant_root_cause_at_max_business_impact,policy_event_count,policy_total_cost,backup_supplier_switch_total_cost,backup_supplier_switch_scheduled_count,backup_supplier_switch_activated_count,equivalent_material_substitution_total_cost,equivalent_material_substitution_scheduled_count,equivalent_material_substitution_activated_count,priority_repair_total_cost,priority_repair_scheduled_count,priority_repair_activated_count,economic_unit_value,estimated_fulfilled_value,estimated_lost_value,estimated_backlog_penalty,estimated_disruption_loss,estimated_policy_benefit,policy_cost_benefit_ratio,reference_policy_profile,reference_policy_total_cost,reference_estimated_disruption_loss,incremental_cost_vs_reference,benefit_vs_reference,net_benefit_vs_reference,policy_cost_benefit_ratio_vs_reference,average_service_level_gain_vs_reference,ttr_improvement_days_vs_reference
interactive_random_2nodes_mid0013,time_priority_interrupt,当前恢复策略,"MID0013,MID0024",MID0006,10,10,0,0.8333,5,3,3,1,1,0,0,4,2,0,0,2025-06-15,2,2,2,3,5,3,1,34.2921,8.573,0.0,0.8333,23,3,0.8333,0.0,supply_constraint,8,5790.2404,0.0,0,0,0.0,0,0,5790.2404,4,4,148.4092,119915.4976,10609.6688,14853.5363,25463.2051,94452.2925,16.3123,no_policy,0.0,37767.2133,5790.2404,12304.0082,6513.7678,2.125,0.0666,4.0
interactive_random_2nodes_mid0013,all_policies,全策略显示联动,"MID0013,MID0024",MID0006,10,10,0,0.8333,5,3,3,1,1,0,0,4,2,0,0,2025-06-15,2,2,2,3,5,3,1,34.2921,8.573,0.0,0.8333,23,3,0.8333,0.0,supply_constraint,4,2827.3209,0.0,0,0,0.0,0,0,2827.3209,2,2,148.4092,119915.4976,10609.6688,14853.5363,25463.2051,94452.2925,33.407,no_policy,0.0,37767.2133,2827.3209,12304.0082,9476.6873,4.3518,0.0666,4.0
interactive_random_2nodes_mid0013,no_policy,无恢复策略,"MID0013,MID0024",MID0006,14,14,0,0.7667,5,5,3,1,1,0,0,4,4,0,0,2025-06-15,2,4,2,5,5,3,1,34.625,8.6562,0.0,0.7667,22,5,0.7667,0.0,supply_constraint,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,148.4092,110687.4914,15736.3389,22030.8744,37767.2133,72920.2781,,no_policy,0.0,37767.2133,0.0,0.0,0.0,,0.0,0.0
interactive_random_2nodes_mid0013,only_backup_switch,仅备供切换,"MID0013,MID0024",MID0006,14,14,0,0.7667,5,5,3,1,1,0,0,4,4,0,0,2025-06-15,2,4,2,5,5,3,1,34.625,8.6562,0.0,0.7667,22,5,0.7667,0.0,supply_constraint,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,148.4092,110687.4914,15736.3389,22030.8744,37767.2133,72920.2781,,no_policy,0.0,37767.2133,0.0,0.0,0.0,,0.0,0.0
interactive_random_2nodes_mid0013,only_substitution,仅等效替代,"MID0013,MID0024",MID0006,14,14,0,0.7667,5,5,3,1,1,0,0,4,4,0,0,2025-06-15,2,4,2,5,5,3,1,34.625,8.6562,0.0,0.7667,22,5,0.7667,0.0,supply_constraint,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,148.4092,110687.4914,15736.3389,22030.8744,37767.2133,72920.2781,,no_policy,0.0,37767.2133,0.0,0.0,0.0,,0.0,0.0
interactive_random_2nodes_mid0013,only_priority_repair,仅优先抢修,"MID0013,MID0024",MID0006,10,10,0,0.8333,5,3,3,1,1,0,0,4,2,0,0,2025-06-15,2,2,2,3,5,3,1,34.2921,8.573,0.0,0.8333,23,3,0.8333,0.0,supply_constraint,4,2827.3209,0.0,0,0,0.0,0,0,2827.3209,2,2,148.4092,119915.4976,10609.6688,14853.5363,25463.2051,94452.2925,33.407,no_policy,0.0,37767.2133,2827.3209,12304.0082,9476.6873,4.3518,0.0666,4.0
